Dataset,Model,p1,p2,p3,a1,a2,a3,phi,prop,ML,FP,Diff_ML,Diff_FP
$hets_1,1,0.5034976,0.4961107,0.0003917082,66.93907,65.957,0.05207687,0.007465575,1,1,1,0,0
$hets_1D,1,0.526287,0.4728485,0.0008644955,11.57298,10.39787,0.01901014,0.04349744,1,1,1,0,0
$hets_2,m1,0.5049567,0.4934898,0.0015534972,5.552111,5.426029,0.01708105,0.0833665324,0.04764975,0.1942767,0.675519,-0.146627,-0.6278693
$hets_2,m2,0.50343,0.4962381,0.0003319369,1161.072057,1144.485137,0.76555369,0.0004334027,0.95235025,0.8057233,0.324481,0.146627,0.6278693
$hets_2D,m1,0.5644346,0.4339049,0.0016605104,6.102877,4.691541,0.01795406,0.084657,0.3826316,0.1840592,0.6795632,0.1985724,-0.2969317
$hets_2D,m2,0.4983413,0.5012904,0.0003682985,Inf,Inf,Inf,0,0.6173684,0.8159408,0.3204368,-0.1985724,0.2969317
$hets_3,m1,0.2208874,0.4995585,0.2795540771,5.21768,11.800296,6.603472365,0.0406149939,0.000339037,0.001893466,0.01388514,-0.001554429,-0.01354611
$hets_3,m2,0.508557,0.4909371,0.0005059377,6.997235,6.754802,0.006961195,0.0677552765,0.061231704,0.212425422,0.67551901,-0.151193719,-0.6142873
$hets_3,m3,0.5032647,0.4963901,0.0003451955,2728.125723,2690.859262,1.871254985,0.0001844387,0.938429259,0.785681112,0.31059585,0.152748147,0.62783341
$hets_3D,m1,0.5221184,0.4758544,0.0020271545,6.114213,5.572443,0.02373878,0.0786757623,0.26559844,0.14808331,0.2907792,0.11751513,-0.02518075
$hets_3D,m2,0.7715921,0.2279946,0.0004132741,Inf,Inf,Inf,0,0.05712053,0.04562181,0.3897277,0.01149872,-0.33260716
$hets_3D,m3,0.5036694,0.4959874,0.0003431275,730.660317,719.51621,0.49776629,0.0006888598,0.67728103,0.80629488,0.3194931,-0.12901385,0.35778791
$hets_4,m1,0.248376,0.4967564,2.55E-001,4.964496,9.929078,5.09E+000,4.76E-002,0.0004185844,0.003251045,0.02453492,-0.002832461,-0.02411633
$hets_4,m2,0.2416219,0.7576855,6.93E-004,69.85103,219.041029,2.00E-001,3.45E-003,0.0046059569,0.066664285,0.11836074,-0.062058328,-0.11375479
$hets_4,m3,0.7301297,0.2698703,1.49E-013,9049.031697,3344.70034,1.84E-009,8.07E-005,0.0085388678,0.099960702,0.46899434,-0.091421834,-0.46045547
$hets_4,m4,0.5028878,0.4967678,3.44E-004,392.565726,387.788328,2.69E-001,1.28E-003,0.986436591,0.830123968,0.38811,0.156312623,0.59832659
$hets_4D,m1,0.774673,0.2248454,0.0004815741,Inf,Inf,Inf,0,0.057233965,0.044121325,0.38366136,0.01311264,-0.3264274
$hets_4D,m2,0.3424152,0.41581,0.2417747042,3.509741,4.262034,2.4781796,0.08888925,0.001930075,0.008752813,0.02507414,-0.006822738,-0.02314407
$hets_4D,m3,0.5033018,0.4963062,0.0003920254,Inf,Inf,Inf,0,0.639246121,0.785931192,0.30439472,-0.146685071,0.33485141
$hets_4D,m4,0.5206089,0.4782496,0.0011415376,7.220559,6.633059,0.0158325,0.06725198,0.301589839,0.16119467,0.28686978,0.140395169,0.01472006
$hets_5,m1,0.3296845,0.6671473,3.17E-003,Inf,Inf,Inf,0,0.003106577,0.151155729,0.11674306,-0.1480491516,-0.11363648
$hets_5,m2,0.7280594,0.2719406,2.47E-013,1133.47495,423.369174,3.85E-010,0.0006419127,0.00879743,0.103247472,0.47249933,-0.0944500425,-0.4637019
$hets_5,m3,0.2249594,0.7750406,7.48E-014,157.94718,544.167046,5.25E-011,0.001422244,0.003266788,0.008645636,0.0502831,-0.0053788481,-0.04701631
$hets_5,m4,0.2491017,0.4965905,2.54E-001,4.96086,9.889599,5.06E+000,0.047812579,0.000420188,0.001000322,0.02386088,-0.0005801335,-0.02344069
$hets_5,m5,0.5030957,0.4965666,3.38E-004,438.69085,432.997545,2.94E-001,0.0011454978,0.984409017,0.735950841,0.33661364,0.2484581757,0.64779537
$hets_5D,m1,0.4335115,0.4099652,0.1565233195,3.667407,3.46821,1.32415107,0.10571083,0.004066018,0.0116466,0.03221893,-0.007580582,-0.02815291
$hets_5D,m2,0.7806041,0.2190744,0.0003214194,Inf,Inf,Inf,0,0.063589441,0.01461184,0.30115934,0.048977602,-0.2375699
$hets_5D,m3,0.3571197,0.642087,0.0007932412,10.577189,19.01736,0.02349425,0.032660477,0.063401792,0.15908685,0.16810461,-0.095685057,-0.10470282
$hets_5D,m4,0.6415081,0.3577008,0.0007910445,73.163812,40.79567,0.09021839,0.008691896,0.113214978,0.2054589,0.26395255,-0.092243919,-0.15073757
$hets_5D,m5,0.4990393,0.5006033,0.0003573916,468.059877,469.52675,0.33520539,0.001065051,0.75572777,0.60919581,0.23456457,0.146531957,0.5211632
$hets_6,m1,0.7285788,0.2714212,1.25E-013,720.265348,268.324112,1.23E-010,0.0010105201,0.0087162672,0.0609481619,0.42666487,-0.0522318947,-0.4179486
$hets_6,m2,0.2520597,0.496779,2.51E-001,4.897648,9.652666,4.88E+000,0.0489464218,0.0004278462,0.0005358865,0.0187382,-0.0001080403,-0.01831036
$hets_6,m3,0.5664131,0.4318443,1.74E-003,Inf,Inf,Inf,0,0.015394795,0.2837697831,0.20315449,-0.2683749881,-0.18775969
$hets_6,m4,0.2244074,0.7755926,3.41E-013,212.157584,733.255125,3.23E-010,0.0010566215,0.0033847329,0.0206494945,0.07212187,-0.0172647616,-0.06873713
$hets_6,m5,0.4099522,0.5880762,1.97E-003,484.142699,694.502292,2.33E+000,0.0008460427,0.0228933627,0.2705512486,0.14478296,-0.2476578859,-0.1218896
$hets_6,m6,0.503796,0.4959213,2.83E-004,1028.550155,1012.473038,5.77E-001,0.000489572,0.949182996,0.3635454253,0.13453761,0.5856375706,0.81464538
$hets_6D,m1,0.642467,0.356731,0.0008019793,81.047386,45.001719,0.1011699,7.86E-003,0.112266634,0.19259762,0.25882987,-0.080330986,-0.14656324
$hets_6D,m2,0.3776314,0.6216804,0.0006881213,105.598496,173.842841,0.1924219,3.56E-003,0.069841655,0.21899896,0.14073874,-0.149157309,-0.07089709
$hets_6D,m3,0.7805058,0.2191787,0.0003154162,Inf,Inf,Inf,0.00E+000,0.064031737,0.01461184,0.30062011,0.049419897,-0.23658838
$hets_6D,m4,0.4368489,0.4156817,0.1474693686,3.725734,3.545206,1.2577154,1.05E-001,0.004426968,0.01157515,0.02965759,-0.007148181,-0.02523062
$hets_6D,m5,0.2130585,0.7866749,0.0002666034,Inf,Inf,Inf,0.00E+000,0.010325225,0.01171805,0.05540577,-0.001392827,-0.04508054
$hets_6D,m6,0.5023003,0.4973754,0.0003242874,6313.518272,6251.617048,4.0760373,7.96E-005,0.73910778,0.55049837,0.21474791,0.188609405,0.52435987
